NAME	Tumor_POU1F1	Neutrophil	Mast	Fibroblast	T_NK_cell	Epithelial	Tumor_NR5A1	Endothelial	MDC	Tumor_TBX19
A2M	1	1	1	833.584360937518	1	1	1	1431.50117544628	483.6791004491	1
A4GALT	1	1	1	58.848891352195	1	1	1	78.0659356232689	1	1
AASS	1	46.453397707975	1	40.7700294247461	1	1	1	1	1	1
AATK	1	1	61.2297041075897	1	1	1	1	1	1	1
ABCA12	1	1	1	1	1	1	1	1	1	71.9676995118471
ABCA8	1	1	1	95.1605809657741	1	1	1	1	1	1
ABCC1	1	1	1	35.3077372518398	1	1	1	1	1	1
ABCC4	1	1	1	1	1	29.4809766001696	1	1	34.7052555008691	1
ABCC8	1	1	1	1	1	1	1	1	1	65.8474135045386
ABCC9	1	1	1	209.434593017221	1	1	1	80.9817641719392	1	1
ABCG2	1	1	1	1	1	1	1	306.095158657715	1	1
ABHD13	1	1	1	1	1	1	41.0996455144003	30.0946044028974	1	27.8562401288068
ABHD15	1	53.434671424097	1	1	1	1	39.3057952795286	1	1	1
ABHD17A	1	1	1	1	1	1	1	57.1977961035427	1	24.9142365823838
ABHD3	1	43.363533170567	104.28075725717	1	1	1	1	43.7588379293884	50.8774801366756	1
ABHD4	1	1	61.3907166056601	1	1	54.7955271340973	1	1	1	1
ABHD8	1	86.3966026068473	1	1	1	1	32.3942587637621	1	33.7512326361011	40.8954253853863
ABI3	1	1	1	1	1	1	1	42.2238588308762	57.3779151627226	1
ABLIM2	1	98.9896697217936	1	1	1	1	71.9089020848307	1	33.2202916358315	71.5809272036208
ABRAXAS1	1	1	44.4417529390534	1	1	1	1	1	1	1
ABRAXAS2	1	49.4164748961387	61.3907166056601	1	1	34.0091544742603	1	1	35.3436693412325	30.4058262922735
ACAD10	25.2607998635473	1	1	1	1	1	1	1	1	1
ACAT2	1	1	1	1	35.6642050876238	47.3397139740769	1	1	1	28.864304351699
ACCS	1	1	1	1	1	1	1	1	1	32.3923288424682
ACD	1	45.7201915321671	1	1	1	1	32.9394503647776	1	1	29.523014157874
ACE	1	1	1	1	1	1	1	91.7221483465422	1	1
ACHE	1	128.525360482927	76.1513696808799	1	1	1	108.031716839906	1	50.6522662995326	1
ACKR3	1	1	1	1	1	1	1	200.172977327229	1	1
ACOT11	1	89.7217329313986	1	1	1	32.9238564002147	1	1	1	28.1796362233387
ACOT2	1	26.434790312712	44.0773648895651	1	1	1	1	1	1	43.7885483660968
ACP5	1	1	1	1	1	1	1	1	50.0298748770468	1
ACSF3	1	47.5138686335587	61.205184851733	1	1	1	1	1	1	1
ACSL1	1	79.6536540085375	1	1	1	58.1998993573764	1	1	140.429413714119	174.378710521616
ACSL5	1	1	1	1	1	1	1	53.4582429492779	1	1
ACTA2	1	1	1	1097.61951698118	1	55.1710222044988	1	107.882430251509	1	1
ACTR3B	70.5775918499079	52.256744417558	1	1	60.5736276100222	1	1	1	37.28021678142	28.7831407726162
ACTR5	1	71.4406062182799	1	1	1	1	1	1	1	1
ACTR8	1	1	44.3259294225525	1	1	1	1	1	1	1
ACVR2B	29.5906842360414	73.6374811016862	1	1	1	1	1	1	1	1
ACVRL1	1	1	1	1	1	1	1	78.3233894721897	1	1
ADA	1	1	1	1	1	1	1	57.2641232067162	1	1
ADAL	40.9915786630566	1	44.0773648895651	1	1	1	1	1	1	1
